time,wr1,wr2,wr3,wr4
9.93, -530.360817538722, 529.5518158667353,-530.2062195768316, 529.3038227889276
9.99, -530.278431378548, 529.4431295892564,-530.3906463249861, 529.2365530096655
10.06,-530.3056120899847,529.3592483272101,-530.266499860523,529.3832739625774
10.12,-530.3921913497438, 529.2845983360463,-530.2927269654652, 529.3222249234319
10.22,-530.4063848498585, 529.3036338222279,-530.2692605007904, 529.2970772588626
10.28,-530.4591736902922, 529.2161928137588,-530.2004520282973, 529.3887669338362
10.32,-530.4391892278668, 529.2088928315408,-530.2214964133395, 529.3783817794694
10.41,-530.3554107557341, 529.4431794050051,-530.2207642398354, 529.2359514615068
10.48,-530.2105731417768, 529.4705347864747,-530.2782371321788, 529.2926781475927
10.54,-530.3463480756454, 529.4404338930384,-530.1899454912764, 529.2603371120827
10.62,-530.4037628687471, 529.3116868408698,-530.1208918313546, 529.3924617716532
10.68,-530.3007001349071, 529.3259857769722,-530.2871364641695, 529.3081102404342
10.76,-530.4064007144316, 529.1804019486136,-530.3174475825446, 529.3051211586489
10.8,-530.3623475623177, 529.1944463697063,-530.3071353645803, 529.3322525338469
10.84,-530.2819141390389, 529.2501048490716,-530.2260020890911, 529.4025741975325
10.95,-530.3879550110551, 529.3495707741674,-530.1975240298063, 529.2050675205426
11.02,-530.3297348922549, 529.2033331375303,-530.2410359437854, 529.3517924644594
11.08,-530.1918980145448, 529.1189008900787,-530.3577104812946, 529.4363346600624
11.15, -530.195590500542, 529.1351404003703,-530.3449251034627, 529.4110416985479
11.24,-530.3288310183507, 529.1863667751944,-530.1700141496352, 529.4032188996511
11.28,-530.2350574934918, 529.3226097088045,-530.1665961542475, 529.3621839061975
11.35,-530.2892530361129, 529.2616424584893,-530.2433066244949, 529.2764817859675
11.44, -530.046770390781, 529.0777572371757,-530.5432043370321, 529.3053363111158
11.52,-530.0595206112899, 529.077617896487,-530.523192572067,529.2653744302976
11.58,-530.0194359597187, 529.2787691616174,-530.1380018945363, 529.4977296759033
11.66,-529.9159861144166, 529.3983358963218,-530.0058582205155, 529.6020422392334
11.7,-529.9483697362609, 529.3824258604454,-529.9915876768749, 529.5897671379163
11.76,-530.0112761515385, 529.3600581216142,-530.1430242097099, 529.3954573362893
11.82, -530.080551233068, 529.3082851241289,-530.1906145262926, 529.3129649406505
11.88,-529.9497359265121, 529.3431984421591,-529.9893642908003, 529.5139870635683
11.96,-530.0081042786616, 529.3131651471369,-530.1196720452035, 529.3225530625394
12.06,-530.1108652464627, 529.1474759743263,-530.1382550144008, 529.3491740007214
12.12,-530.0188035487721,529.2477099187247, -530.19190890462, 529.249940867181
12.18,-530.1154345780405, 529.1039789675409,-530.1741240862563, 529.3014578582279
12.25,-530.0584129328153,   529.16898060709,-530.1080095025169, 529.3335989532898
12.32,-530.1120727855781, 529.2332729999662,-529.9788836612161,   529.33970119514
12.36,-530.0529897855649, 529.2013894383161,-530.1969850441601,  529.210353703486
12.44,-530.1636533569605, 529.0204815516943,-530.2317717838602, 529.2273639285262
12.5, -529.985135768272, 529.2260603952318,-530.1371730343791, 529.2765032806585
12.6,-530.0615310151661, 529.2848670620356,-530.0715675165311, 529.1749116089301
12.64,  -529.96941985444, 529.1661140652046,-530.0544794362543, 529.3838540464983
12.69,-529.9553871955089, 529.1898878138437,-530.0353972798705, 529.3633090648923
12.75,-530.0754662176614, 529.1820865713593,-529.9528692594095, 529.3198921510564
12.79, -530.07489314163,529.1906845522382,-529.955095447943,529.2907794325453
12.83,-529.9710650869201, 529.2367922307554,-530.1932411663294, 529.0187565429841
12.87,-529.9875800705396, 529.213569738047,-530.177102148988,528.9970466945193
12.94,-529.8091943356661, 529.2499701341217,-530.2667530541822, 529.0413728047023
13.01,-529.9324291999128, 529.2234924738157,-530.0050083302516, 529.2045515843021
13.06,-529.8047910266329, 529.3149677375052,-529.9595913138786, 529.2292828386956
13.09,-529.8771224626173,529.2623042935099,-529.975273881829,529.1626727619796
13.17,-529.7876486039856, 529.3488197347315,-529.9392994866849, 529.1944996424365
13.21,-529.8638225498573, 529.2638133898491,-530.0067640304419, 529.1288345656448
13.27,-529.8836925721787, 529.2528300392744,-529.9723967986957, 529.1316327244633
13.34,-529.8603213314334, 529.3034214155587,-529.8330686144549, 529.1551966488336
13.41,-529.7679594601402,  529.459717262321,-529.8034240632066, 529.1028373460216
13.46,-529.7503663667019, 529.1157869243086,-530.0928614819668, 529.1610404260257
13.51,-529.7631512898182, 529.1243467886054,-530.0343487476071, 529.1702860300463
13.56,-529.8131383642576, 529.2545377396374,-529.9157409743256, 529.0819792075537
13.61,-529.8548188713216, 529.2155376757855,-529.8920698169999, 529.0875744731545
13.65,-529.7501744124174,  529.320760128644,-529.8314599244407, 529.1392284145617
13.72, -529.815380949474, 529.2367194427932,-529.8954531931277, 529.0873845441909
13.83,-529.9254812961558, 529.1561082509818,-529.9721540107752, 528.9686984503759
13.88,-529.9483387108751, 529.1233440986782,-529.9532660220726, 528.9793453790261
13.9,-530.0132856765964, 528.9977455081993,-529.9403633981501, 529.0505525701558
13.96,-530.0357478921667, 528.9772712813375,-529.9369868861291, 529.0346674005832
14,-529.7588769433067, 529.2214320714033,-529.9352016246332, 529.0863481410794
14.05,-529.7853874041913, 529.2039414521093,-529.9011701599483, 529.1050000793531
14.11,-530.0985241149018, 529.1206138458504,-529.8126342567083, 528.9013347743119
14.16,-530.0917589274454,  529.165473543963,-529.8593023833084, 528.8196460658313
14.23,-530.1109731778857,529.1060236660384,   -529.889033599,  528.80341882228
14.29,-529.9769194625694,  529.084700563483,-529.9899736323749, 528.8555564634482
14.33, -530.009865603354, 529.0237179846747,-530.0068899881879,  528.852319243487
14.36,-530.0115136819184, 529.0006281668904,-529.9501934862254, 528.9020429377761
14.4,-530.0187112237663, 528.9704257330194,-529.9391591859218, 528.9247784835077
14.49,-530.1850262733193, 529.0608893007487,-529.7794057502338, 528.8360859330098
14.53,-530.0349309767088, 528.8803989160365,-529.8946680425739, 529.0603719644681
14.58,-530.1040215225651,528.8028283340635,-529.977853736789,528.9721974044777
14.66,-530.1034329838654,  528.993242193227,-529.7963426882735, 528.9585623718888
14.71,-530.0941385837317, 528.8316617693033,-529.8166694478654, 529.1161273209918
14.78,-530.1517480647424,  528.824269343387,-529.9287719510714, 528.9533626796142
14.86,-530.0799787058424, 528.8929250559421,-529.8645007779171, 529.0205852586672
