time,accX,accY,accZ,wRoll,wPitch,wYaw
12.88,  -1.69943263,   0.04911655,  -9.87242655,0.12217304764,0.06981317008,0.54105206812
12.92,        -1.4734965,        0.34381585,-9.754546830000001,     0.13962634016,     0.03490658504,     0.45378560552
12.95,   -1.44402657,    0.22593613,  -10.07871606, 0.13962634016,-0.03490658504, 0.40142572796
12.98,  -1.67978601,   0.07858648,  -9.96083634, 0.0872664626,-0.0872664626,0.41887902048
13.01,   -1.56190629,    0.10805641,   -9.81348669, 0.05235987756,-0.05235987756,   0.436332313
13.05,       -1.50296643,        0.01964662,-9.931366410000001,     0.10471975512,                 0,     0.45378560552
13.09,  -1.35561678,   0.13752634,  -10.0197762,0.13962634016,0.06981317008,  0.436332313
13.12,  -1.32614685,   0.13752634, -10.13765592,0.10471975512,0.12217304764,0.36651914292
13.15,  -1.14932727,            0, -10.19659578,0.03490658504,0.13962634016,0.31415926536
13.19,  -0.92339114,   0.10805641,  -10.0197762,            0,0.13962634016,0.27925268032
13.23,  -1.01180093,   0.28487599, -10.10818599,            0,0.10471975512, 0.2617993878
13.26,   -1.12968065,    0.28487599,  -10.10818599,-0.01745329252,  0.0872664626,  0.2617993878
13.29,       -0.86445128,        0.37328578,-9.666137040000001,                 0,      0.0872664626,      0.2617993878
13.33,       -0.77604149,        0.37328578,-9.646490419999999,      0.0872664626,     0.12217304764,     0.27925268032
13.37,       -0.83498135,         0.1964662,-9.725076899999999,     0.10471975512,     0.15707963268,     0.31415926536
13.4,  -0.71710163,   0.16699627,  -9.69560697,0.12217304764, 0.1745329252, 0.3490658504
13.44,  -0.74657156,            0,  -9.87242655,0.12217304764,0.15707963268, 0.3490658504
13.47,  -0.74657156,   0.07858648,  -9.87242655, 0.0872664626, 0.1745329252,0.33161255788
13.5,       -0.59922191,        0.16699627,-9.754546830000001,     0.03490658504,     0.13962634016,     0.33161255788
13.53,       -0.52063543,        0.13752634,-9.725076899999999,      0.0872664626,     0.06981317008,     0.36651914292
13.57,  -0.62869184,   0.28487599,  -9.69560697, 0.0872664626,0.06981317008, 0.3490658504
13.6,  -0.77604149,   0.16699627,  -9.87242655,0.06981317008,0.06981317008,0.36651914292
13.64,  -0.65816177,   0.22593613,  -9.78401676,0.05235987756, 0.0872664626,  0.436332313
13.68,  -0.56975198,            0,  -9.78401676,0.12217304764,0.03490658504,0.41887902048
13.71,  -0.59922191,  -0.10805641,  -9.69560697,0.12217304764,0.10471975512,0.36651914292
13.75,       -0.55010536,       -0.07858648,-9.666137040000001,     0.05235987756,      0.1745329252,      0.3490658504
